date,home_team,away_team,elo_diff,form_diff,h2h_home_rate,neutral_venue,result
2020-10-11,Greece,Moldova,28.275431105332473,1.0833333333333333,0.5,0,H
2020-10-11,Kazakhstan,Albania,0.0,0.0,0.5,0,D
2020-10-11,Gabon,Benin,0.0,0.0,0.5,1,A
2020-10-11,Malawi,Zimbabwe,-10.0,-1.0,0.5,0,D
2020-10-11,South Africa,Zambia,0.28774368332005906,-0.5,0.5,0,A
2020-10-11,Tanzania,Burundi,0.0,0.0,0.5,0,A
2020-10-11,Finland,Bulgaria,9.720531583800039,0.6666666666666667,0.5,0,H
2020-10-11,Lithuania,Belarus,19.137288414131945,1.0,0.5,0,D
2020-10-11,Republic of Ireland,Wales,-19.703697489758042,-1.3333333333333335,0.5,0,D
2020-10-11,Serbia,Hungary,-9.424513027761805,-0.6666666666666667,0.5,0,A
2020-10-11,England,Belgium,0.8545119346420051,0.0,0.5,0,H
2020-10-11,Bosnia and Herzegovina,Netherlands,-0.008281927054213156,-0.33333333333333337,0.5,0,D
2020-10-11,Poland,Italy,-9.13889996017997,-0.3333333333333335,0.5,0,D
2020-10-11,Russia,Turkey,19.12171599605631,1.3333333333333335,0.5,0,D
2020-10-11,Iceland,Denmark,8.559074975183421,0.4666666666666668,0.5,0,A
2020-10-11,Croatia,Sweden,-18.89862708307419,-0.8,0.5,0,H
2020-10-11,Northern Ireland,Austria,-20.28797481740662,-1.3333333333333335,0.5,0,A
2020-10-11,Norway,Romania,-9.990850342285512,-0.33333333333333326,0.5,0,H
2020-10-11,Scotland,Slovakia,19.71227081971506,1.0,0.5,0,H
2020-10-11,Israel,Czech Republic,-9.128950636097898,-1.0,0.5,0,A
2020-10-11,France,Portugal,9.696281186858414,0.6666666666666665,0.5,0,D
2020-10-12,Burkina Faso,Madagascar,10.0,2.0,0.5,1,H
2020-10-12,Ghana,Qatar,-10.0,-1.0,0.5,1,H
2020-10-12,Togo,Sudan,10.0,1.0,0.5,1,D
2020-10-12,United Arab Emirates,Uzbekistan,10.0,1.0,0.5,0,A
2020-10-13,Bolivia,Argentina,-20.0,-3.0,0.5,0,A
2020-10-13,Nigeria,Tunisia,-20.0,-3.0,0.5,1,D
2020-10-13,Niger,Sierra Leone,20.0,3.0,0.5,0,H
2020-10-13,Montenegro,Luxembourg,29.14575811537952,1.0,1.0,0,A
2020-10-13,Venezuela,Paraguay,-10.0,-1.0,0.5,0,A
2020-10-13,Peru,Brazil,-10.0,-2.0,0.5,0,A
2020-10-13,Chile,Colombia,-20.0,-3.0,0.5,0,D
2020-10-13,Mozambique,Angola,0.0,0.0,0.5,1,A
2020-10-13,Ecuador,Uruguay,-20.0,-3.0,0.5,0,H
2020-10-13,Morocco,DR Congo,20.0,3.0,0.5,0,D
2020-10-13,Germany,Switzerland,38.28384491221777,1.25,0.5,0,D
2020-10-13,Japan,Ivory Coast,-0.5747407768853918,0.0,0.5,1,H
2020-10-13,Costa Rica,Panama,-29.424512633359882,-3.0,0.0,0,A
2020-10-13,Liechtenstein,San Marino,37.72515267033077,2.0,1.0,0,D
2020-10-13,Faroe Islands,Andorra,27.47867504320402,1.25,1.0,0,H
2020-10-13,Latvia,Malta,0.27119153361400095,-0.25,0.5,0,A
2020-10-13,Azerbaijan,Cyprus,29.424751698925775,1.0,1.0,1,D
2020-10-13,Ukraine,Spain,-39.13147227451714,-1.25,0.0,0,H
2020-10-13,Cameroon,South Sudan,0.0,0.0,0.5,0,D
2020-10-13,Mexico,Algeria,-0.008281927054213156,0.0,0.5,1,D
2020-10-14,Turkey,Serbia,0.26206928790384154,-0.25,0.5,0,D
2020-10-14,Finland,Republic of Ireland,9.712706323572775,0.75,1.0,0,H
2020-10-14,Bulgaria,Wales,-38.01908834934511,-1.5,0.0,0,A
2020-10-14,North Macedonia,Georgia,-1.3956429722820758,0.0,0.5,0,D
2020-10-14,Lithuania,Albania,10.008258369385658,0.41666666666666674,1.0,0,D
2020-10-14,Greece,Kosovo,45.85809491723171,1.55,1.0,0,D
2020-10-14,Moldova,Slovenia,-65.54101125256761,-2.3,0.0,0,A
2020-10-14,Belarus,Kazakhstan,-8.028511926149804,-0.33333333333333326,1.0,0,H
2020-10-14,Estonia,Armenia,-28.586998323009993,-1.0833333333333333,0.0,0,D
2020-10-14,Russia,Hungary,-10.597966599285883,-0.5,1.0,0,D
2020-10-14,Scotland,Czech Republic,0.5338857978276792,-0.25,1.0,0,H
2020-10-14,Romania,Austria,-29.721864158798326,-1.25,1.0,0,A
2020-10-14,Norway,Northern Ireland,19.983677304880985,1.0,1.0,0,H
2020-10-14,Croatia,France,-27.700223398540174,-1.0,0.0,0,A
2020-10-14,Portugal,Sweden,20.75015382606921,0.8,1.0,0,H
2020-10-14,England,Denmark,18.571532838571784,0.75,0.5,0,A
2020-10-14,Iceland,Belgium,-9.699735805575074,-0.55,0.0,0,A
2020-10-14,Poland,Bosnia and Herzegovina,20.83822703066744,1.0,1.0,0,H
2020-10-14,Italy,Netherlands,29.443365735738553,1.0,1.0,0,D
2020-10-14,Slovakia,Israel,-9.441304612489148,-0.25,0.5,0,A
2020-11-06,Ethiopia,Sudan,9.712256316679941,0.5,0.5,0,D
2020-11-07,Bahrain,Tajikistan,0.0,0.0,0.5,1,H
2020-11-11,Slovenia,Azerbaijan,45.932195702608624,1.6,0.5,0,D
2020-11-11,Portugal,Andorra,57.4394057762031,1.8000000000000003,0.5,0,H
2020-11-11,Romania,Belarus,-21.0790366140277,-0.5999999999999999,0.5,0,H
2020-11-11,San Marino,Latvia,-18.32042670919077,-0.55,0.5,0,A
2020-11-11,Turkey,Croatia,-1.387547138439004,-0.3999999999999999,0.5,0,D
2020-11-11,Poland,Ukraine,28.272341725757542,0.8,0.5,0,H
2020-11-11,Mauritania,Burundi,0.0,0.0,0.5,0,D
2020-11-11,Kenya,Comoros,10.287743683320059,2.0,0.5,0,D
2020-11-11,Senegal,Guinea-Bissau,-10.0,-1.0,0.5,0,H
2020-11-11,Libya,Equatorial Guinea,0.0,0.0,0.5,1,A
2020-11-11,Guinea,Chad,20.27970641134948,3.0,0.5,0,H
2020-11-11,Netherlands,Spain,-18.001961147292604,-0.6000000000000001,0.5,0,D
2020-11-11,Albania,Kosovo,35.63849632524557,0.85,0.5,0,H
2020-11-11,Malta,Liechtenstein,2.502833438107018,-0.1499999999999999,0.5,0,H
2020-11-11,Luxembourg,Austria,-18.01395671245041,-0.5999999999999999,0.5,0,A
2020-11-11,Lithuania,Faroe Islands,-8.694618713775753,-0.3999999999999999,0.5,0,H
2020-11-11,Italy,Estonia,45.517059659933466,1.4,0.5,0,H
2020-11-11,Greece,Cyprus,45.329568855098614,1.4000000000000001,0.5,0,H
2020-11-11,Germany,Czech Republic,-0.8257974478096912,-0.40000000000000013,0.5,0,H
2020-11-11,France,Finland,28.589769271804926,0.8,0.5,0,A
2020-11-11,Denmark,Sweden,32.38620940558212,1.4,0.5,0,H
2020-11-11,Bulgaria,Gibraltar,-48.0713929878159,-1.8,0.5,0,H
2020-11-11,Belgium,Switzerland,47.17786510950941,1.6,0.5,0,H
2020-11-11,Montenegro,Kazakhstan,28.82758634889774,1.0,0.5,0,D
2020-11-12,Burkina Faso,Malawi,29.424512633359882,2.5,0.5,0,H
2020-11-12,Uganda,South Sudan,0.0,0.0,0.5,0,H
2020-11-12,Ghana,Sudan,9.720531583800039,0.8333333333333334,0.5,0,H
2020-11-12,Gabon,Gambia,-20.0,-3.0,0.5,0,H
2020-11-12,Cape Verde,Rwanda,-0.559174827549441,0.5,0.5,0,D
2020-11-12,Ivory Coast,Madagascar,0.27045473933981157,0.5,0.5,0,H
2020-11-12,Zambia,Botswana,9.720538243734154,1.0,0.5,0,H
2020-11-12,Algeria,Zimbabwe,10.287505310298002,1.0,0.5,0,H
2020-11-12,Congo,Eswatini,-10.0,-1.0,0.5,0,H
2020-11-12,Argentina,Paraguay,9.712732405474753,1.0,0.5,0,D
2020-11-12,Cameroon,Mozambique,10.0,1.0,0.5,0,H
2020-11-12,Bolivia,Ecuador,-20.0,-1.5,0.5,0,A
2020-11-12,Moldova,Russia,-55.3230245403272,-1.4000000000000001,0.5,0,D
2020-11-12,Uzbekistan,Syria,0.28774368332005906,0.5,0.5,1,A
2020-11-12,United Arab Emirates,Tajikistan,-0.28774368332005906,0.0,0.5,0,H
2020-11-12,Lebanon,Bahrain,-10.0,-2.0,0.5,1,A
2020-11-12,Jordan,Iraq,0.0,0.0,0.5,1,D
2020-11-12,England,Republic of Ireland,39.13691157266976,1.4,0.5,0,H
2020-11-12,Bosnia and Herzegovina,Iran,-29.6884510713046,-2.4,0.5,0,A
2020-11-12,Georgia,North Macedonia,1.3153037368256264,0.0,0.5,0,A
2020-11-12,Serbia,Scotland,-38.826573154530024,-1.2000000000000002,0.5,0,D
2020-11-12,Northern Ireland,Slovakia,-0.23954091920859355,0.0,0.5,0,A
2020-11-12,Hungary,Iceland,29.124602181183263,1.4,0.5,0,H
2020-11-12,Wales,United States,7.776076496341602,-1.0,0.5,0,D
2020-11-13,South Africa,São Tomé and Príncipe,-10.008281927054213,-0.5,0.5,0,H
2020-11-13,Nigeria,Sierra Leone,10.0,0.5,0.5,0,D
2020-11-13,Tunisia,Tanzania,19.424988722154694,2.0,0.5,0,H
2020-11-13,Morocco,Central African Republic,9.424988722154694,1.0,0.5,0,H
2020-11-13,Mali,Namibia,10.0,2.0,0.5,0,H
2020-11-13,Niger,Ethiopia,19.704457138354655,2.0,0.5,0,H
2020-11-13,Chile,Peru,0.28726759452524675,0.0,0.5,0,H
2020-11-13,Colombia,Uruguay,10.0,0.5,0.5,0,A
2020-11-13,Japan,Panama,-8.850827425369289,-1.0,0.5,1,H
2020-11-13,Costa Rica,Qatar,-18.57962609627475,0.0,0.5,1,D
2020-11-13,Brazil,Venezuela,39.42451263335988,3.0,0.5,0,H
2020-11-13,Bangladesh,Nepal,0.0,0.0,0.5,0,H
2020-11-14,Benin,Lesotho,10.0,2.0,0.5,0,H
2020-11-14,Egypt,Togo,0.28774368332005906,0.0,0.5,0,H
2020-11-14,DR Congo,Angola,-19.424988722154694,-2.5,0.5,0,D
2020-11-14,Saudi Arabia,Jamaica,0.0,0.0,0.5,0,H
2020-11-14,San Marino,Gibraltar,-35.89237489031029,-1.3,0.0,0,D
2020-11-14,Latvia,Faroe Islands,-7.58186801239367,-0.19999999999999996,0.5,0,D
2020-11-14,Mexico,South Korea,9.991956445967844,1.0,0.5,1,H
2020-11-14,Cyprus,Luxembourg,-47.79188214086139,-1.0,0.0,0,H
2020-11-14,Azerbaijan,Montenegro,-26.165940894087726,-0.6000000000000001,0.0,1,D
2020-11-14,Switzerland,Spain,-44.71695680638936,-1.2000000000000002,0.0,0,D
2020-11-14,Germany,Ukraine,35.604867666777636,1.2000000000000002,1.0,0,H
2020-11-14,Sweden,Croatia,-11.417860662997327,-0.7999999999999999,0.0,0,H
2020-11-14,Portugal,France,10.243487560993572,0.20000000000000018,0.5,0,A
2020-11-14,Malta,Andorra,56.628958008796644,2.0,0.5,0,H
2020-11-15,Slovenia,Kosovo,79.23454410258819,2.4,1.0,0,H
2020-11-15,Moldova,Greece,-60.59836187463952,-1.8,0.0,0,A
2020-11-15,Albania,Kazakhstan,18.669017559711392,0.6000000000000001,0.5,0,H
2020-11-15,Belarus,Lithuania,-28.373910237603013,-0.8000000000000003,0.5,0,H
2020-11-15,Guatemala,Honduras,0.0,0.0,0.5,0,H
2020-11-15,Burundi,Mauritania,0.0,0.0,0.5,0,H
2020-11-15,Chad,Guinea,-39.11363664331634,-3.0,0.0,0,D
2020-11-15,Comoros,Kenya,-9.69570657124359,-1.0,0.5,0,H
2020-11-15,Guinea-Bissau,Senegal,-10.575487366640118,-1.5,0.0,0,A
2020-11-15,Georgia,Armenia,9.33725322128089,-0.050000000000000044,0.5,0,A
2020-11-15,Equatorial Guinea,Libya,20.0,3.0,1.0,0,H
2020-11-15,North Macedonia,Estonia,63.74012377883537,1.4,0.5,0,H
2020-11-15,Austria,Northern Ireland,77.16859059499347,2.1999999999999997,1.0,0,H
2020-11-15,Wales,Republic of Ireland,45.85577763700235,1.2000000000000002,0.5,0,H
2020-11-15,Netherlands,Bosnia and Herzegovina,19.919422569676726,0.19999999999999996,0.5,0,H
2020-11-15,Bulgaria,Finland,-47.2378905287394,-1.7999999999999998,0.0,0,A
2020-11-15,Belgium,England,-0.7783004453772264,0.0,0.0,0,H
2020-11-15,Denmark,Iceland,50.42266520520252,2.0,1.0,0,H
2020-11-15,Italy,Poland,-2.1241174356644024,-0.3999999999999999,0.5,0,H
2020-11-15,Slovakia,Scotland,-47.185719975068196,-1.2000000000000002,0.0,0,H
2020-11-15,Czech Republic,Israel,-1.133159242604279,0.0,1.0,0,H
2020-11-15,Turkey,Russia,-16.715635405258354,-0.19999999999999996,0.5,0,H
2020-11-15,Hungary,Serbia,36.62043997755359,0.8,1.0,0,D
2020-11-15,Romania,Norway,-18.550224311176407,-0.6000000000000001,0.0,0,H
2020-11-16,Gambia,Gabon,-1.1500225556906116,0.0,0.0,0,H
2020-11-16,Botswana,Zambia,-29.1611250379583,-2.25,0.0,0,H
2020-11-16,Zimbabwe,Algeria,-29.69548190805199,-1.8333333333333335,0.0,0,D
2020-11-16,Eswatini,Congo,-10.575487366640118,-1.5,0.0,0,D
2020-11-16,Mozambique,Cameroon,-29.424512633359882,-1.6666666666666667,0.0,0,A
2020-11-16,South Africa,São Tomé and Príncipe,10.567681790574625,1.3333333333333333,1.0,0,H
2020-11-16,United States,Panama,1.611098527780996,0.0,0.5,1,H
2020-11-16,Malawi,Burkina Faso,-47.73473955918962,-2.6666666666666665,0.0,0,D
2020-11-16,Basque Country,Costa Rica,28.33311433230392,0.75,0.5,0,H
2020-11-16,United Arab Emirates,Bahrain,-19.991718072945787,-1.5,0.5,0,A
2020-11-16,Jordan,Syria,-10.008281927054213,-2.0,0.5,1,H
2020-11-16,South Sudan,Uganda,-20.0,-2.5,0.0,1,H
2020-11-17,Uruguay,Brazil,-18.869640558852325,-1.0,0.5,0,A
2020-11-17,Namibia,Mali,-29.424512633359882,-2.5,0.0,0,A
2020-11-17,Sudan,Ghana,-29.16111876110108,-1.5,0.0,0,H
2020-11-17,Angola,DR Congo,18.30796014394423,1.3333333333333335,0.5,0,A
2020-11-17,Central African Republic,Morocco,-28.88257580443201,-2.3333333333333335,0.0,1,A
2020-11-17,Rwanda,Cape Verde,0.5269861647846028,-0.33333333333333326,0.5,0,D
2020-11-17,Tanzania,Tunisia,-38.30796014394423,-2.3333333333333335,0.0,0,D
2020-11-17,Paraguay,Bolivia,38.8417158694233,1.6666666666666667,0.5,0,D
2020-11-17,Ethiopia,Niger,-38.57139197187121,-2.5,0.0,0,H
2020-11-17,Madagascar,Ivory Coast,-20.25488611620608,-1.3333333333333333,0.0,0,D
2020-11-17,Sierra Leone,Nigeria,-9.424512633359882,-0.3333333333333333,0.5,0,D
2020-11-17,Lesotho,Benin,-29.424512633359882,-3.0,0.0,0,D
2020-11-17,Togo,Egypt,-20.271179829211633,-2.5,0.0,0,A
2020-11-17,Venezuela,Chile,-29.149116018045788,-1.3333333333333333,0.5,0,H
2020-11-17,Peru,Argentina,-38.84949470627407,-2.0,0.5,0,A
2020-11-17,Uzbekistan,Iraq,-9.720538243734154,0.0,0.5,1,A
2020-11-17,Croatia,Portugal,-45.60520546866201,-0.20000000000000018,0.0,0,A
2020-11-17,France,Sweden,46.7120419360549,0.8,1.0,0,H
2020-11-17,Spain,Germany,-20.30491346565077,-1.0000000000000002,0.5,0,H
2020-11-17,Ecuador,Colombia,10.862754961165365,0.6666666666666667,0.5,0,H
2020-11-17,Luxembourg,Azerbaijan,-2.078777854445434,0.0,1.0,0,D
2020-11-17,Montenegro,Cyprus,51.799309242622485,0.3999999999999999,1.0,0,H
2020-11-17,Andorra,Latvia,-45.03231689805216,-1.0,0.5,0,A
2020-11-17,Switzerland,Ukraine,-8.899443730785151,-0.19999999999999996,0.0,0,H
2020-11-17,Gibraltar,Liechtenstein,-0.24426405642520876,0.0,1.0,0,D
2020-11-17,Bangladesh,Nepal,20.0,3.0,1.0,0,D
2020-11-17,Japan,Mexico,0.5667904693534638,0.0,0.5,1,A
2020-11-17,South Korea,Qatar,1.1095114933655168,-0.5,0.5,1,H
2020-11-17,Saudi Arabia,Jamaica,20.0,3.0,1.0,0,A
2020-11-17,Malta,Faroe Islands,21.219889876675097,1.6,0.0,0,D
2020-11-18,Republic of Ireland,Bulgaria,-1.6542448446664366,-0.19999999999999996,0.5,0,D
2020-11-18,Albania,Belarus,16.317562363201432,0.20000000000000018,1.0,0,H
2020-11-18,Greece,Slovenia,-17.80540746073916,-0.6000000000000001,0.5,0,D
2020-11-18,Kosovo,Moldova,0.1994955075786038,0.0,0.5,0,H
2020-11-18,Georgia,Estonia,42.89675056231545,0.6,1.0,0,D
2020-11-18,Armenia,North Macedonia,-26.014701746546734,-0.6000000000000001,0.0,1,H
2020-11-18,Wales,Finland,-2.958208114306899,-0.7999999999999998,1.0,0,H
2020-11-18,Kazakhstan,Lithuania,-28.022011425417077,-1.2000000000000002,1.0,0,A
2020-11-18,Serbia,Russia,-4.358786889781868,0.6,0.0,0,H
2020-11-18,Czech Republic,Slovakia,16.45447797591396,0.40000000000000013,1.0,0,H
2020-11-18,Israel,Scotland,-26.963661774751472,-0.6000000000000001,0.5,0,H
2020-11-18,Austria,Norway,46.689032227038524,1.2,1.0,0,D
2020-11-18,Northern Ireland,Romania,-48.62561074905784,-1.0,0.5,0,D
2020-11-18,Belgium,Denmark,-2.0034865374327637,-1.0,1.0,0,H
2020-11-18,England,Iceland,46.270322529268014,1.2000000000000002,1.0,0,H
2020-11-18,Poland,Netherlands,18.56787885040444,0.8,0.0,0,A
2020-11-18,Bosnia and Herzegovina,Italy,-75.34005706887433,-1.8000000000000003,0.5,0,A
2020-11-18,Hungary,Turkey,25.91553089942022,0.8000000000000003,1.0,0,H
2020-12-04,Qatar,Bangladesh,-30.215053653506402,-1.6666666666666667,0.5,0,H
2020-12-09,United States,El Salvador,29.873600348023274,2.3333333333333335,0.5,0,H
2021-01-12,United Arab Emirates,Iraq,-19.42498146072853,-1.0,0.5,0,D
2021-01-18,Kuwait,Palestine,0.0,0.0,0.5,0,A
2021-01-19,Dominican Republic,Puerto Rico,0.0,0.0,0.5,0,A
2021-01-22,Guatemala,Puerto Rico,0.0,-1.0,0.5,0,H
2021-01-25,Dominican Republic,Serbia,-12.863228381795352,-1.2,0.5,0,D
2021-01-27,Iraq,Kuwait,19.161779316355478,1.6666666666666667,0.5,0,H
2021-01-28,Panama,Serbia,-3.8341155862069627,0.10000000000000009,0.5,0,D
2021-01-31,United States,Trinidad and Tobago,29.319686654743236,1.5,0.5,0,H
2021-02-01,Jordan,Tajikistan,30.296263785868632,2.0,0.5,1,H
2021-02-05,Jordan,Tajikistan,48.556677561960896,2.3333333333333335,1.0,1,A
2021-02-15,Jordan,Uzbekistan,27.470475520869513,1.0,0.5,1,A
